Nom|Prénoms|naissance|décès|Nation|Diocèse|Collège d'études|année de référence|Collège du premier poste|Fonction du premier poste|1ère année attestée du 1er poste|date ultime attestée du 1er poste|Collège du deuxième poste|Fonction du deuxième poste|1ère date attestée du deuxième poste|date ultime attestée du deuxième poste|Collège du troisème poste|Fonction du troisième poste|1ère date attestée du troisième poste|Date ultime attestée du troisième poste|Autres informations|Premier grade connu|Second grade connu|Ordre sacré|Bénéfices|Engagement janséniste|Serment civique|Fonctions universitaires|Publications|Référence de la source 1|Référence de la source 2|Référence de la source 3|Autres références de source
Ninnin|Jean  Baptiste|1714||France|Reims||1748|Navarre|professeur d'humanités|1748|1755|||||||||A un frère (Henri) docteur et professeur en médecine. |||prêtre en 1748|||||ode au Dauphin triomphant en Belgique.|U255|M3316|La France littéraire 1769|
Nioche|Jean François|1719||France|Paris (Ville)||1748||||||||||||||bachelier en théologie||prêtre||||||M3316|U25||
Nion|Pierre|||France|Paris||1673|Cardinal-Lemoine|professeur de philosophie|1673|1673||||||||||||||||||M3313|||
Noël|Louis François Joseph Michel|1756||France|Paris (Ville)|Louis-le-grand boursier|1780|Louis-Le-Grand|professeur de 6e|1780|1780|Louis-Le-Grand|professeur de seconde (provisoire)|1791|1792|||||"Agrégé de lettres en 1778, lauréat du concours général. Il est préfet en 1802. Selon G. Dupont-Ferrier, il reçut de nombreux prix, eut une carrière brillante hors du collège : journalisme, diplomatie, administration, livres d'enseignement classique,  et finalement ""Il servit tous les régimes et tous les régimes lui servirent"" (p. 359)."||||||oui||Ode sur la naissance de Monseigneur le Dauphin, en vers français, 1782. |M3318|H3 2663 (VI)|Dupont-Ferrier|
Noël|||||||1652|Harcourt|professeur de philosophie|1652|1652||||||||||||||||||Reg 27|Jourdain||
Noguette|Nicolas|1720||France|Paris (Ville)||1756|Beauvais|professeur de 6e|1756|1761|Beauvais|professeur d'humanités|1764|1764|Louis-Le-Grand|professeur de 3e|1765|1790|Décédé après 1797||||||||aucune|M3316|U255|U37(3)|M3317; 916 363;  MSJF 414; carton 26 
Nollet|Jean Antoine|1700|1770|Picardie|Noyon||1753|Navarre|professeur de physique expérimentale|1753|1765|||||||||Membre de l'académie des sciences de Paris et de Londres, professeur aux écoles d'artillerie et du génie. Ses démonstrations connaissent un grand succès public. ||licencié en théologie|prêtre|||||27 mémoires ou ouvrages sur différents sujets de physique dont Cours de physique expérimentale, d'Essai sur l'électricité des corps, Recherches sur les causes particulières des phénomènes électriques…|916363|La France littéraire 1757 et 1769|Nécrologue des hommes célèbres, 1772, Histoire de l'académie des sciences, 1770. |Arno : transport de rente de la fabrique de Saint-Médard en 1761
Noyelle (de La) (de Noyelles )|Jean François|1748||Picardie|Amiens|Plessis 3e 1765, 1vet 1768|1786||agrégé sans poste|1786|1790|||||||||Lauréat du concours général, agrégé de lettres en 1773, sans poste jusqu'en 1790, il a fait ses études au collège du Plessis où il réside encore en 1786.|||||||||H/3/2754/A-B|MSJF 469||
Nully|Jacques||||||1664|Navarre|professeur de 4e|1664|1664||||||||||||||||procureur 1701-1702 questeur 1705|aucune|M3313|||
Nupières|||||||1652|Reims|professeur de philosophie|1652|1652||||||||||||||||||Jourdain|Reg 27||
Ogier|Gilbert|||||boursier d'Autun|1670|Autun|professeur|1670|1670|Autun|principal|1678|1699||||||bachelier en théologie||||||||M3314|H/3/2899/5|H/3/2567/A|
Ogier de Berville|Pierre François|||France|Paris (Ville)||1729|Bourgogne|régent de philosophie|1729|1729||||||||||||acolyte||||||M3315|||
Olivier|Guillaume|||France|Bayeux||1728||||||||||||||bachelier en théologie||||classé janséniste||||M3315|||
Olivier|Jean|||France|Léon||1701||||||||||||||bachelier en théologie|||Un Olivier est chapelain de Mazarin jusqu'en 1747. |||||M3314|||
Omclane|Jean|||France|Paris (Ville)||1724|St Michel|professeur de philosophie|1724|1724||||||||||bachelier en théologie||prêtre||||||M3315|||
Omoloy|||||||1652|Beauvais|professeur de philosophie|1652|1652||||||||||||||||||Jourdain|||
Orvalle (D’)|François Nicolas|||France|Paris||1714||professeur de philosophie|1714|1714||||||||||||||||||M3320|||
Ottin|Jean|||France|Vannes||1733|Montaigu|professeur de 3e|1733|1753|||||||||Il est émérite retiré entre 1786 et 1790.|||diacre|une pension en 1790||||aucune|M3315|U254|M3316|M 3318; arno : convention pour un appartement avec le collège de Montaigu le 15/09/1751 (ET/LXXIII/767).
Oudart|||||||1791|Lisieux|professeur de 3e|1791|1791|||||||||Il remplace Marchand, réfractaire.||||||oui|||H/3/2563 (VI)|||
Ozon||||France|Sens||1673|Grassins|professeur de philosophie|1673|1675||||||||||bachelier en théologie||||||recteur 1781-1784||M3313|||
Padet|Pierre||1665|Normandie|Coutances|Grassins Rhétorique, Plessis philosophie|1621|Harcourt|professeur de philosophie et tient par moments le pensionnat|1621|1642|Harcourt |principal et proviseur|1649|1665|Collège Royal|professeur de philosophie|1647|1647|Naissance vers 1582. Sous sa direction, son collège a eu du succès.|licencié en théologie||||||||Bouquet|Lerosey, 1906, t. 24, p. 35.|Jourdain|
Paignon|Nicolas Jean Denis|||France|Toulouse||1730||régent|1730|1730||||||||||bachelier en théologie|docteur en théologie|clerc|canonicat à Notre-Dame et intégré au clergé de St Benoît de Paris 1732-1780|||||M3315|U25|arno : constitution de tontine, procuration générale en 1761.|
Palate|Nicolas Louis|1733||France|Paris (Ville)||1755||||||||||||||bachelier en théologie||clerc||||||M3316|U25||
Palerne|Antoine Joseph Marie|1729||France|Paris (Ville)||1749|Presles-Beauvais|professeur de philosophie|1749|1749|||||||||||docteur en théologie en 1775|acolyte|un Palerne est chanoine de Notre-Dame en 1772-1780|||||M3316|U25||
Pallier|Maurice|||France|Paris (Ville)||1732||||||||||||||bachelier en droit||prêtre||||||M3315|||
Panier|Jean Baptiste René|||France|La Rochelle||1744||||||||||||||bachelier en théologie||clerc en 1744 puis diacre ||classé janséniste||||M3315|REG 86||
Parent|André|1737||France|Auxerre (Ville)||1762|||||||||||||Insermenté, il est arrêté en 1793, relâché ensuite, il rouvre son église.|bachelier en théologie|docteur en théologie en 1775|prêtre||||||M3317|U25||
Parent|Jean Étienne|1729|1801|France|Dijon (Ville)||1758||||||||||||||bachelier en droit|licencié en droit et a fait trois ans de théologie|prêtre|Curé d'Attainville (Val d'Oise) puis en 1767 de St Nicolas des Champs||réfractaire|||M3316|Dainville-Barbiche|Dictionnaire des lettres françaises 18e|
Parent|Nicolas|||France|Paris (Ville)||1728||||||||||||||bachelier en théologie|docteur en théologie||Cure de Notre-Dame de Bonne Nouvelle en 1750|||||M3315|U254||
Pâris|||||||1791|La Marche|professeur de 3e|1791|1791|||||||||"Il figure parmi les trois ""intellectuels"" chargés d'examiner le civisme de Morellet en 1793. "|||||||||H/3/2563|||
Parisotin|Michel||||||1700|Grassins|professeur de rhétorique|||Grassins|professeur de philosophie|||Navarre|principal des artiens|1700|1700|||licencié en théologie||||||aucune|M3314|||
Parmentier|Claude François|||France|Paris (Ville)||1740||||||||||||||bachelier en théologie|||||||Un abbé Parmentier est secrétaire de Monsieur et auteur d'une Lettre de Caton d'Utique à César en 1766, Éloge historique des princesses de la Maison de Savoie, 1771, La Colère de Xantipe ou l'édit des deux femmes, poème dramatique en 5 actes en vers, 1784, Méthode abrégée de la perfection chrétienne, 1784. |M3315|||
Parnault|||||||1701|Plessis|professeur|1701|1701|||||||||||bachelier en théologie|||||||M3314|||
Parquet|Nicolas|||France|Paris (Ville)||1711|Cambrai|professeur de philosophie|1711|1711|||||||||||docteur en théologie|acolyte|Cure de st Nicolas des Champs en 1731|||||M3314|U254||
Paschal|Jean Benoît|1725||France|Paris (Ville)||1752||||||||||||||bachelier en théologie||prêtre||||||M3316|||
Pasquier|François|||France|Paris||1666|Navarre|professeur d'humanités|1666|1666|Navarre|professeur de philosophie|1668|1671||||||bachelier en théologie||||||recteur 1777-1778||M3313|Jourdain||
Passart|Jean|||France|Paris||1717||professeur|1717|1717||||||||||bachelier en théologie||||||||U253|||
Pastel|Jean Antoine|||France|Clermont-Ferrand||1691|Reims|professeur de philosophie|1691|1691|Mazarin|vice principal|1698|1720|Mazarin|grand maître|1720|1723|Le roi lui a accordé en 1707 une pension supplémentaire qui complète ses gages de sous-principal car il est coadjuteur du grand maître en place à cette date. ||docteur en théologie|acolyte 1691,prêtre 1702|une chapellenie|||||M3314|REG 82|H/3/2830|H/3/2828, H/3/2827, H/3/2826
Pastel|||||||1652|Plessis|professeur|1652|1652||||||||||||||||||Reg 27|||
Pastel (ou Postel )|Louis|||France|Paris (Ville)||1705||||||||||||||bachelier en théologie|docteur en théologie|clerc 1705||||||M3314|U253||
Patena|Philibert||||||1602|La Marche|principal|1602|1607|La Marche|principal|1629|1650||||||||||||||Levy|jourdain||
Patin|Pierre|1733||France|Troyes|Plessis 1e 1752|1764|Plessis|professeur de 3e|1764|1780|Mazarin|professeur de 3e|1783|1785|||||Lauréat du concours général. Décédé après 1797.||||||||aucune|M3317|U37(3)|M3318|916363; H/3/2835, MSJF 414, carton 26
Patin de La Tour|Étienne Lazare|||France|Paris (Ville)||1742|||||||||||||Il a 22 ans en 1742.|bachelier en théologie|docteur en théologie |sous-diacre||||||M3315|U37||
Patouffleau de La Verdin  (de)|François|||France|Bourges||1732||||||||||||||bachelier en théologie||prêtre||||||M3315|||
Paul|||||||1652|Autun|professeur de philosophie|1652|1652||||||||||||||||||Jourdain|||
Paupelin|Étienne|||France|Sens||1727|Grassins|professeur d'humanités|1727|1739||||||||||||clerc||classé janséniste|||aucune|M3315|arno : constitution de tontine en 1761||
Pellerin|Jean Baptiste|||France|Paris (Ville)||1741||||||||||||||bachelier en théologie||||||||M3315|||
Perault (Pérau)|Gabriel Louis Calabre|1700|1767|France|Paris (Ville)||1720|Ste Barbe|régent|1720|1720|||||||||||licencié en théologie|clerc 1720 diacre 1767|prieur||||Vies des hommes illustres de France, Le secret des Francs-maçons, Mes rêveries, éditeur de classiques, des œuvres de Boileau, de Rabelais, Bossuet. |M3314|||La France littéraire 1757 La France littéraire 1769 †
Perier|Jacques|||France|Paris (Ville)||1739|Bourgogne|professeur de philosophie|1739|1741|||||||||Il doit 100 livres au collège de Bourgogne pour le loyer d‘une classe.|||clerc||||||M3315|H/3/2799/4||
Pernety|Joseph|||France|Genève||1744||||||||||||||bachelier en théologie||clerc 1744, prêtre 1749||||||M3315|||
Peronne|Louis|||France|Châlons/ Marne||1711||||||||||||||bachelier en théologie|docteur en théologie|||||||M3314|U253||
Perreau|Jean||||||1646|Presles-Beauvais|professeur de philosophie||||professeur royal de philosophie ordinaire|1646|1646|||||Il obtient son premier poste avant 1646.|||||||||H/3/1891/2|||
Perrin|Jean|1723||France|Autun||1762|Plessis|professeur|1762|1762||||||||||||prêtre||||||M3317|||
Pestel|Pierre||||||1714|Cardinal- Lemoine|professeur de rhétorique|1714|1714|||||||||||||||||2 odes|U60|||
Petit|Conrad Alexandre|||France|Paris (Ville)||1744||||||||||||||bachelier en théologie|docteur en théologie|clerc 1744 prêtre 1763||||||M3315|||
Petit|Louis||1753||||1728|Mazarin|sous-maître|1728|1735|Mazarin|professeur de 6e puis de 3e|1735|1737|Mazarin|professeur de seconde|1738|1753|Ses héritières sont les demoiselles Petit, ses sœurs.||Licencié en droit en 1748|clerc tonsuré en 1761|||||De pace, oratio; In pacem, carmen|H/3/2833|H/3/2832|H/3/2830|La France littéraire 1769; arno : quittance à un doreur et à un joailler en 1751, quittance de succession en 1761.
Petit  de  Larcane|François|||France|Paris||1693|Reims|professeur de philosophie|1693|1693||||||||||||||||||M3314|||
Petit de Montempuys|Jean  Gabriel  Pierre||1763|France|Paris (Ville)||1701|Plessis|professeur de philosophie|1701|1737|||||||||Naissance vers 1674. Ancien recteur, forte figure du parti janséniste, il a laissé un mémoire publié par Jourdain dans lequel il raconte ses démêlés avec ses ennemis. Il est aussi cartésien dès 1700. Il lègue ses livres à l'université en 1762. |bachelier en théologie|licencié en théologie|Diacre seulement 1720-45|Canonicat à Notre-Dame en 1720|classé janséniste|||Oratio habita in comitiis generalibus; Observations sur une instruction de M. l’archevêque de REIMS; Délibérations de l’Université de Paris; Supplément aux mémoires de Sully|U253|U254|M3314|La France littéraire 1769; Bibl. Arsenal Ms 6266; Jourdain
Petitjean|François|1731||France|Châlons/ Marne||1752|Dainville|régent de philosophie|1752|1752|||||||||||docteur en théologie en 1763|sous-diacre 1753 prêtre 1756||||censeur 1704, procureur 1707, questeur 1702, recteur (1692-1693), syndic de l'université, DOYEN tribu de SENS||M3316|U25||
Petity  (de)|Jean Raymond|1722||France|Limoges (Ville)||1749|Narbonne|professeur de philosophie|1749|1749|||||||||Originaire de de Saint Paul-les-trois-Chateaux, écuyer. Prédicateur de la reine, compilateur.|||prêtre|sacristain de St Louis en L'île||||Bibliothèque des artistes et des amateurs, Encyclopédie élémentaire, Les Vœux de la France et de l'Empire, Panégyrique de S. Jean Nepomucene, Panégyrique de Sainte Adélaïde, Étrennes françoises. |M3316|Dictionnaire des lettres françaises 18e|arno : réitération de grades en vue d'une nomination au chapitre de Notre-Dame en 1761, cautionnement par Louvel de Villarceaux.|La France littéraire 1769
Peyras  (de)|François|||France|Paris||1710||||||||||||| |bachelier en théologie|docteur en théologie|clerc; Prêtre 1741|cure|||||M3314|U253||
Peyredieu|Jean|||France|Limoges||1738||||||||||||||bachelier en théologie||acolyte||||||M3315|||
Phalamus|Jacques|||France|||1713||||||||||||||||||||||M3314|||
Philibert|Nicolas||||||1670|Montaigu|professeur de philosophie|1670|1670|||||||||Socius de la Sorbonne.|bachelier en théologie||||||||M3313|||
Philippe|Jean|||France|Châlons/ Marne||1713||||||||||||||bachelier en théologie||||||||M3314|||
Philippe|Nicolas||||||1622|Lisieux|principal|1622|1622||||||||||||||||||Compère|||
Philippes|||||||1652|Beauvais|professeur|1652|1652||||||||||||||||||Reg 27|||
Piales|Jean Jacques|||France|Rodez||1738|||||||||||||Est ensuite avocat au Parlement de Paris.|licencié en droit||clerc||classé janséniste|||Traité des collations, Traité des provisions, Traité de l'expectative des gradués, Traité de la dévolution, Traité des commendes et de la réserve, Traité des réparations des églises|M3315|||La France littéraire 1769
Piat|Nicolas|1690|1756|France|Châlons/ Marne ||1715|Plessis|professeur|1715|1717|Plessis|professeur de rhétorique|1734|1737|Collège Royal|professeur de rhétorique|1744|1744|"Avait eu un prix au Plessis en rhétorique en 1708. Scribe de l'université, recteur en 1730. Ami très proche ""pendant trente ans"" de Crevier. Crevier (préface IX) en fait l'éloge et déclare qu'"" il a composé des discours publics ; de courtes harangues au roi, aux princes, aux ministres, aux magistrats, des pièces de poésie en l'une et l'autre langue, tantôt sérieuses, tantôt enjouées..."". Il réside au collège de Plessis tant qu'il sert l'université, puis il occupe cinq chambres dans le collège de Reims de 1745 à 1756. Ancien recteur."||||Vicaire général de Reims de 1743 à 1755, date où il tombe malade. |||recteur 1730-1733 et 1736 Censeur 1740 questeur 1748|Daphnis, ecloga, cum LudovicoXV…, Décision de Nicolas Piat, recteur, invitant les collèges de l'université à célébrer l'anniversaire de Louis XV, traduction de B. Grenan, Zephyre et Rose, édition des Œuvres d'Horace, Juste milieu qu'il faut tenir sur les disputes de Religion. |U253|U254|M3314|Crevier prèface IX; M3316, H/3/2880 
Pibrac|Mathieu|||France|Auch||1744|||||||||||||Sans poste en 1747, il réside au séminaire de Saint-Sulpice. |bachelier en théologie||sous-diacre||||examinateur baccalauréat 1747||M3315|M3316|U25|
Picard|Philippe Alexandre||||||1749|Mazarin|sous maître|1749|1754|||||||||Aumônier du Comte de la Marche en 1761. |||||classé janséniste||||h/3/2834|H/3/2833|H/3/2832|arno : exécuteur testamentaire et acte de procuration pour prise de possession et sur les revenus de l'abbaye de Vitry/Orne.
Picard|||||||1754|Mazarin|sous-maître|1754|1762|||||||||Frère de Philippe Alexandre Picard, il lui succède comme sous-maître.|||||||||H/3/2834|H/3/2833||
Picard (Picart)|Pierre|1723||France|Auxerre||1754|Plessis|professeur de 6e|1754|1764|Plessis|professeur d'humanités|1764|1770|Plessis||||Il cesse son activité en 1770.|||||||chapelain NATION||M3316|U255|M3317|916 363; MSJF 414
Picart|Jean Baptiste|||France|Paris (Ville)||1729||||||||||||||||prêtre||||||M3315|||
Picart|||||||1652|Harcourt|professeur|1652|1652||||||||||||||||recteur 1690||Reg 27|||
Pienud (ou Piednu)|Jacques|||Normandie|Rouen||1691|Harcourt|professeur de seconde et primarius du collège|1691|1696|||||||||Il est en conflit avec Leduc en 1691. |licencié en théologie||prêtre 1695|||||Dissertation sur la prison de Saint Jean-Baptiste et sur la dernière Pâque de Jésus Christ où l'on fait voir contre le P Lamy..., de trois odes. |REG 10|M3314|REG 82|U60
Pières|Nicolas||||||1652|Lisieux|régent|1652|1652|Lisieux|professeur de rhétorique|1657|1658||||||||||||recteur 1657||jourdain|Reg 27||
Pierres|André|||France|Paris||1708|Grassins|professeur|1708|1723||||||||||||||||||U253|M3314|M3320|
Pigis|Jacques|||France|Paris||1652|Navarre|professeur de philosophie|1652|1652|Collège Royal|professeur de grec|1675|1675|||||En 1670 il est présenté comme professeur émérite de philosophie.|bachelier en théologie||||||||M3313|M3313|Reg 27|Jourdain
Pigne  de  Chabanette|Jean  Baptiste|||France|Limoges||1710|St  Michel|principal|1710|1718||||||||||bachelier en droit||prêtre 1715||||||U253|M3314||
Pigret|Mathurin|||France|Saint- Brieuc||1670||||||||||||||bachelier en théologie||||||||M3313|||
Pillier|Gérard||||||1610|Plessis|professeur de philosophie|1610|1610|||||||||Procédure est engagée contre lui car il a abandonné les cours trop tôt.|||||||||Jourdain|||
Pin|Antoine Valentin|||France|Paris (Ville)||1703|||||||||||||Socius de Navarre.|bachelier en théologie|docteur en théologie|prêtre 1713|chapellenie à Sens|||||M3314|||
Pin|Jean||||||1669|Narbonne|professeur de philosophie|1669|1669||||||||||||||||||M3313|||
Pinaud (ou Pinard)|||||||1689|Mazarin|sous maître|1689|1712||||||||||||||||||H/3/2825|H/3/2828|H/3/2827|
Piolé||||||Cardinal Lemoine: boursier théologien depuis 1665 au moins|1676|Cardinal-Lemoine|principal|1676|1679||||||||||||prêtre|boursier théologien; prieur du collège en 1680|||||M3321|||
Pion|Antoine Claude|1728|1795|France|Paris (Ville)||1747|Presles|professeur de philosophie|1747|1747|||||||||Serait né en 1726 selon certaines sources.||docteur en théologie|acolyte  1747 prêtre 1752|Vicaire en 1761, canonicat, chefcier et cure de St Opportune (1763-1791) ||réfractaire|||M3316|Dainville-Barbiche|arno : réitération de grades en 1761|Almanach Royal; U37 
Pipon|Richard|||Normandie|||1697|Cardinal-Lemoine|professeur d'humanités|1697|1709|||||||||En conflit avec Courcoul en 1709, il est émérite retiré de 1719 à 1735. ||||||||aucune|REG 10|H/3/*/2597||
Pitet|François|||France|Sens||1709|Grassins|professeur de philosophie|1709|1733|||||||||Procureur des Grassins à Partir de 1723. Il a déjà cessé d'enseigner en 1737.|||||||||U253|U254|M3314|M3320
Place|Jacques|||France|Angers||1743||||||||||||||bachelier en droit||prêtre||||||M3315|||
Plantey|Guillaume Joseph|||France|Agen||1735|Bayeux|professeur|1735|1735||||||||||bachelier en théologie||diacre||||||M3315|||
Playne  (de)|François (Jean-)|||France|Paris (Ville)||1716|Lisieux|professeur de rhétorique|1722|1739||||||||||bachelier en droit|licencié en droit||||||Mémoire judiciaire contre des membres de la faculté de théologie, Regi christianissimo Ludovico XV..., éditeur de Phèdre, de fables en latin, d'une ode en 1716 pour l'avènement de Louis XV.|U253|U254|M3314|M3315
Playne (ou Plaine)|Ambroise|||Normandie|Avranches||1688|Lisieux|professeur de rhétorique|1688|1713|||||||||Il est professeur émérite en 1709.|licencié en droit|||||||7 odes diverses.|REG 10|LP 11/62||
Plessmann|Jean Frédéric Charles|1764||Allemagne|Berlin|Lisieux 6e 1779, 1e 1784|1788||agrégé|1788|1790|Navarre|professeur de seconde|1791|1791|||||Lauréat du concours général, agrégé sans poste entre 1788 et 1790.||||||oui|||H/3/2754/A-B|H/3/2563||
Pluyette|Germain||||||1618|Cardinal- Lemoine|principal|1618|1618|||||||||Appartient à une dynastie universitaire.|||||||||Compère|Pluyette||
Pluyette|Nicolas|||France|Meaux||1729||||||||||||||bachelier en droit||||||||M3315|||
Pocquelin|Louis Claude |||France|Reims (Ville)||1735|Plessis|professeur de philosophie|1737|1737|||||||||Un Robert Pocquelin est docteur en théologie et inspecteur de Mazarin en 1699, puis curé de Saint-Sauveur ; un Louis Robert Pocquelin est professeur de philosophie au Plessis en 1737 et licencié en droit ; un Louis Claude Pocquelin est examinateur pour le baccalauréat ès arts en 1739. |bachelier en droit|licencié en théologie|prêtre|cure (identification incertaine)|||||M3315|||
Poërus|||||||1651|Lisieux|professeur de philosophie|1651|1652|||||||||Il accueille un groupe de prêtres irlandais chez lui pour faire une déclaration contre Jansen en 1651.|||prêtre||||||Jourdain|Reg 27||
Poignard|Jean Baptiste|||France|Orléans||1770|Louis-Le-Grand|principal et proviseur|1770|1775|Collège D'Orléans|principal|1768|1770||||||licencié en théologie|docteur en théologie||||||L'écolier vertueux; Mémoire sur l'éducation|U25|Compère||
Pointel|Jacques|||Picardie|||1660|Plessis|professeur d'humanités|1661|1661||||||||||bachelier en théologie|||||||aucune|M3313|||
Poirier|Philippe||1753|France|Blois||1710|Grassins|professeur de philosophie|1710|1715|La Marche|professeur de philosophie|1717|1753|||||Antijanséniste, il est soupçonné d'être favorable aux Jésuites et d'y envoyer ses élèves (Jourdain).|bachelier en théologie||diacre 1710 prêtre 1714||hostile aux jansénistes||||U253|U254|M3314|M3315, M3316, BHVP2259
Poitevin|Denis Nicolas|1743|1813|France|Paris (Ville)||1765|||||||||||||Insermenté, émigré en Belgique pendant la Révolution.|bachelier en théologie||prêtre|premier vicaire de St Paul depuis 1779 au moins, à St Sulpice entre 1762 et 1767||réfractaire|||M3317|Dainville-Barbiche||
Poitevin|Gaspard||1751|Normandie|Bayeux (Ville)||1695|Grassins|professeur de 5e|1695|1695|Grassins|professeur d'humanités|1705|1705|Beauvais|professeur de philosophie|1709|1745||||prêtre 1695||classé janséniste|||3 odes|REG 10|AN 1739|LP 11/62|REG 82; H/3/2597; arno : procuration pour la prise de possession de succession en 1761, rente sur les États de Bretagne en 1751, dépôt de testament le 16/11/1751 et inventaire après décès du 23/12/1751 (ET/CXV/594) 
Pojet|Isaac|||France|Lyon||1730|Bayeux|professeur|1730|1730||||||||||bachelier en théologie||prêtre||||||M3315|||
Pommier de Sarches|Médéric|||France|||1738|Presles|professeur de philosophie|1738|1738||||||||||bachelier en théologie||||||||M3315|||
Poncelin|François Joseph|||France|Besançon||1740||||||||||||||bachelier en droit||prêtre||||||M3315|||
Poncet|François|||France|Vienne||1705|Montaigu|professeur de philosophie|1705|1717||||||||||bachelier en théologie||||||||M3314|U253|M3320|
Ponetac  (de)|François|||France|Bordeaux||1716|Laon|professeur|1716|1716||||||||||||acolyte||||||M3314|||
Pontgérard|Simon Marc François|1751||France|Rennes (Ville)||1776||agrégé|1776|1784|||||||||Agrégé de grammaire en 1776, sans poste de 1777 à 1784, il réside au collège du Plessis. |||acolyte en 1777||||||MSJF 469|M3317|M3318|
Pontuc  (de)|François|||France|Bordeaux||1716|Laon|professeur|1716|1716||||||||||||||||||M3320|||
Poqueslin|Robert|||France|Paris||1673|Le Mans|professeur de philosophie|1672|1672||||||||||bachelier en théologie||||||Questeur 1778, Receveur des messageries dans les années 1780||M3313|||
Portelance|Jacques Charles|1733||France|Paris (Ville)||1752|Justice|régent|1752|1752|||||||||||docteur en théologie en 1763|acolyte 1753 prêtre 1763||||Recteur 1696-1698|Critique d'Antipater, tragédie ; Le temple de la mémoire, poème. |M3316|||
Portier|Pierre||||||1709||||||||||||||bachelier en théologie||||||||M3314|||
Potet|Joseph Michel|1730||France|Paris (Ville)||1766|Mazarin|professeur de 6e|1766|1766|Mazarin|professeur de 5e|1766|1791|||||Décédé après 1797|||Prêtre|||oui|||H/3/2563 (VI)|H/3/2835|M3317|carton 26
Potier|Jean|||Normandie|||1658|Lisieux|professeur de 6e|1658|1658|Lisieux|professeur|1666|1666|||||||||||||aucune|REG 10|||
Pouchard|Jean Alexandre|||France|Paris (Ville)||1719||||||||||||||bachelier en théologie||clerc||||||M3314|||
Poudra|Jean Baptiste |1762||France|Paris (Ville)|Plessis 2e 1781|1786||agrégé|1786|1786|||||||||Agrégé en 1786, lauréat du concours général.|||clerc||||||M3318|||
Poulain|Nicolas-René|||Picardie|||1780|Plessis|professeur de 6e|1780|1791||professeur de grammaire|1786|1790|||||Agrégé de grammaire en 1775. Remplacé par Maltet car réfractaire.||||||réfractaire|||H3 2563 (VI)|H/3/2754/A-B|MSJF 469|
Pourcel|Philippe||1676|Picardie|||1633|Cardinal Lemoine|professeur de philosophie|||Cardinal Lemoine|principal et grand maître et professeur de philosophie|1633|1676|||||Il est professeur pendant 18 ans.|||||||||Mazarine A 15177|Jourdain|Compère|M3321
Pourchot|Edmond (Edme)|1651|1734|France|Sens|Grassins|1677|Grassins|professeur de philosophie|1677|1690|Mazarin|professeur de philosophie|1690|1703|||||Plusieurs fois recteur et syndic de l'université, il fut en relation avec Racine, Boileau, Arnauld…Il apprend l'hébreu sur le tard et l'enseigne. Il lègue ses biens à la Sorbonne en vue de fonder une chaire de grec et aider les étudiants pauvres. Forte figure universitaire, philosophie cartésien. il cesse d'enseigner en 1703.|licencié en droit||||||recteur 1692 |Institutio philosophica ; Défense du sentiment d'un philosophe contre la censure d'un rhéteur, de divers mémoires liés à ses responsabilités. |U253, H/3/2826, 27|jourdain |Dictionnaire des lettres françaises 18e|H/3/2760 avocat Parlement et syndic en 1710; Brockliss
Poyer|Nicolas|||Normandie|Rouen||1737||professeur de philosophie|1737|1737||||||||||bachelier en théologie||||||||CART N|||
Pradot|Thierry|||France|Paris (Ville)||1734||||||||||||||bachelier en théologie||acolyte||||||M3315|||
Prepetit de Grammont  (de)|Alexandre|||Normandie|||1693|Grassins|professeur de rhétorique|1693|1709||||||||||||||||recteur 1715-1717|Traduction en vers françois de l'art poétique d'Horace, Dissertation sur les auteurs anciens et modernes, Traité de la versification française, de dix odes ou panégyriques pour la paix, le roi, les grands de 1688 à 1714.|REG 10|M3314||
Prevost|Claude|||Picardie|Beauvais||1691||||||||||||||bachelier en droit||clerc 1686||||||M3314|REG 82||
Prevost|Jean François|1725||France|Paris (Ville)||1750||||||||||||||bachelier en théologie|docteur en théologie |prêtre||||||M3316|U25||
Prigent|Hervé|||France|Léon||1737||||||||||||||bachelier en théologie||prêtre||||||M3315|||
Prissay|Jean||||||1675|Beauvais|professeur de 3e|1675|1675||||||||||||||||procureur questeur|aucune|M3313|||
Provost|Antoine|||France|Paris (Ville)||1724|||||||||||||Un Pierre Antoine Charles Provost est en 1737 docteur en théologie.|||||||||M3315|||
Provost (ou Le Prevost, Le Provost)||||Normandie|||1784|Louis-Le-Grand|professeur de 6e |1784|1789|Louis-Le-Grand|professeur de 5e|1789|1795|||||||||||oui|||H/3/2563 (VI)|Dupont-Ferrier||
Prud’homme de La Boussiniere des Vallées|Jacques ou JEAN René Guillaume François|1728||France|Le Mans||1752|Laon|professeur de philosophie|1752|1752|||||||||||docteur en théologie|diacre 1752 prêtre 1757||||||M3316|U25||
Prudhomme|Pierre|||France|Le Mans||1708||||||||||||||bachelier en théologie|licencié en théologie|clerc||||procureur 1743 Censeur 1738||M3314|||
Puech de Fonblanc de La Tour|Louis Antoine|1734||France|Castres||1757|Boissy|professeur|1757|1757|Autun|professeur de philosophie|1758|1758||||||||diacre en 58, prêtre||||||M3316|H/3/2899/3|U25|
Puissor|Claude||||||1695||||||||||||||||||||||M3314|||
